brand\color,0,1,2,3,4,5,6,7,8
0,263,439,434,24,5,0,21,0,17
1,319,447,139,108,13,0,15,0,4
10,82,58,45,57,14,0,1,0,9
11,120,86,61,28,7,0,4,36,0
12,495,331,186,70,0,0,0,28,6
13,176,23,31,41,35,0,0,4,0
14,53,43,44,19,84,0,2,11,2
15,123,62,40,49,32,0,0,6,0
16,138,154,83,23,5,0,0,0,5
17,100,67,48,22,9,0,0,1,0
18,44,26,29,21,2,0,0,11,0
19,70,49,18,56,19,0,3,9,5
2,450,124,270,92,0,0,15,8,6
20,56,8,36,36,26,0,8,5,13
21,111,27,47,53,32,0,6,46,2
3,379,171,200,123,3,0,17,9,28
4,471,301,78,244,4,2,0,0,0
5,198,73,71,118,53,368,27,0,25
6,430,430,41,41,0,0,0,0,0
7,108,79,61,8,33,0,2,7,0
8,84,74,27,61,25,0,0,16,4
9,182,258,334,56,8,0,0,35,2
