brand,color,count
12,0,495
4,0,471
2,0,450
1,1,447
0,1,439
0,2,434
6,0,430
6,1,430
3,0,379
5,5,368
9,2,334
12,1,331
1,0,319
4,1,301
2,2,270
0,0,263
9,1,258
4,3,244
3,2,200
5,0,198
12,2,186
9,0,182
13,0,176
3,1,171
16,1,154
1,2,139
16,0,138
2,1,124
15,0,123
3,3,123
11,0,120
5,3,118
21,0,111
1,3,108
7,0,108
17,0,100
2,3,92
11,1,86
8,0,84
14,4,84
16,2,83
10,0,82
7,1,79
4,2,78
8,1,74
5,1,73
5,2,71
12,3,70
19,0,70
17,1,67
15,1,62
11,2,61
8,3,61
7,2,61
10,1,58
10,3,57
20,0,56
19,3,56
9,3,56
5,4,53
21,3,53
14,0,53
19,1,49
15,3,49
17,2,48
21,2,47
21,7,46
10,2,45
18,0,44
14,2,44
14,1,43
13,3,41
6,3,41
6,2,41
15,2,40
20,3,36
11,7,36
20,2,36
13,4,35
9,7,35
7,4,33
15,4,32
21,4,32
13,2,31
18,2,29
12,7,28
11,3,28
3,8,28
21,1,27
5,6,27
8,2,27
20,4,26
18,1,26
5,8,25
8,4,25
0,3,24
13,1,23
16,3,23
17,3,22
0,6,21
18,3,21
14,3,19
19,4,19
19,2,18
0,8,17
3,6,17
8,7,16
1,6,15
2,6,15
10,4,14
20,8,13
1,4,13
14,7,11
18,7,11
10,8,9
3,7,9
17,4,9
19,7,9
20,1,8
2,7,8
9,4,8
7,3,8
20,6,8
11,4,7
7,7,7
12,8,6
2,8,6
21,6,6
15,7,6
16,8,5
0,4,5
19,8,5
20,7,5
16,4,5
1,8,4
11,6,4
13,7,4
4,4,4
8,8,4
3,4,3
19,6,3
14,6,2
4,5,2
9,8,2
14,8,2
7,6,2
21,8,2
18,4,2
17,7,1
10,6,1
